,Unnamed: 0,Link,Title,Estate_type,Province,District,Ward,Price,Square,Post_date,Describe,Numb_bedroom,Numb_toilet,Numb_floor
422,422,https://bds.com.vn/nha-dai-tu-hoang-mai-lo-goc-2-mat-thoang-ngo-thong-rong-xe-ba-gac-dua-tranh-2-xe-may-gan-o-to-o-ngay-p490529.html,"Nhà Đại Từ, Hoàng Mai, Lô góc 2 mặt thoáng, Ngõ thông rộng xe ba gác đua tránh 2 xe máy, gần ô tô, ở ngay.",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Đại Kim,4200000000.0,32.0,02/08/2024,"Đại Từ 32m2, 4 tầng, mặt tiền 3.8m, Giá chào 4.2 tỷ.
LÔ GÓC 2 MẶT THOÁNG - NGÕ THÔNG RỘNG XE BA GÁC ĐUA TRÁNH 2 XE MÁY - GẦN Ô TÔ

Mô tả:

- Nhà nằm ở Ngõ 236 Đại Từ huyền thoại rộng ô tô con tránh, ngõ đẹp nhất phố Đại Từ thông các ngả ra KĐT Đại Kim, Ngõ rộng và thông sang ngõ 276 Đại Từ nhà có thể kinh doanh nhỏ lẻ, khu dân cư đông đúc. 
- Tiện ích xung quanh nhiều như trường các cấp, bến xe, bệnh viên...giao thông đi lại rất thuận lợi.
- Nhà thoáng có ban công trước nhà, từ tầng 2 diện tích khoảng 38m, nhà đang cho thuê cả nhà 10 triệu/ tháng.
- Nhà thiết kế 4 tầng cầu tháng giữa.
+ Tầng 1: khách + bếp + wc.
+ Tầng 2,3 : Mỗi tầng 2 phòng và vệ sinh.
+ Tầng 4 : Phòng + sân phơi. 
+ Sổ đỏ sẵn sàng giao dịch ngay.
Liên hệ: 0844899222 để được tư vấn thêm.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Đại Kim",5.0,4.0,4.0
423,423,https://bds.com.vn/chinh-chu-can-ban-nha-gap-nha-truong-dinh-35m2-nhinh-2-ty-3-ngu-nha-dan-xay-chac-chan-o-nga-p490794.html,"Chính chủ cần bán nhà gấp nhà Trương Định, 35m2, nhỉnh 2 tỷ, 3 ngủ, nhà dân xây chắc chăn ở nga.",Unknown,Hà Nội,Unknown,Unknown,2300000000.0,33.0,02/08/2024,"TRƯƠNG ĐỊNH, NHÀ DÂN XÂY CHẮC CHẮN, THOÁNG TRƯỚC SAU - VỊ TRÍ TRUNG TÂM - TƯƠNG LAI RA MẶT ĐƯỜNG 30M, GIÁ RẺ NHỈNH 2 TỶ, 35M2, 3 NGỦ, Ở NGAY.
Mô tả: 
+ Vị trí: nằm khu trung tâm Trương Định, thuận lợi, dễ di chuyển, 15 phút ra Bờ Hồ.

+ Nhà dân xây chắc chắn ở được ngay, thoáng trước sau, mùa hè chả mấy khi phải dùng điều hòa, các phòng thông mát lạnh.

+ Tương lai sáng ngời ra mặt đường 30m.
Thiết kế:

+Tầng 1 : Khách, bếp, Wc.
+Tầng 2 : 1PN + 1 Wc.
+Tầng 3 : 1PN + 1 Wc.
Pháp lý:  Sổ đỏ sẵn sàng giao dịch.
Liên hệ: Ms Thanh 0844899222 - 0865089699                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Quận Hoàng Mai",3.0,3.0,4.0
425,425,https://bds.com.vn/can-ho-kim-van-kim-lu-dt-57m2-2-ngu-2-wc--gia-16xx-ty-p505270.html,"Căn hộ Kim Văn, Kim Lú, DT 57m2, 2 ngủ, 2 WC,  Giá 1.6xx tỷ.",căn hộ chung cư,Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,1800000000.0,74.0,02/08/2024,"BÁN KĐT KIM VĂN – KIM LŨ - HIẾM - 57M2 – 2 NGỦ - 2VS – 1 BẾP – 1 KHÁCH – SỔ ĐỎ SẴN SÀNG SANG TÊN.
Vị trí: nằm trục đường Nguyễn Xiển, thuận tiện cho việc đi lại.
Nhà nhỏ tiền, hiếm nhà bán, phí dịch vụ cực thấp. Chỉ từ 3.000đ/1 mét vuông. 
Sổ đỏ lâu dài, sang tên luôn.
Liên hệ: 0865089699 để được giao dịch chính chủ.
                                 
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Hoàng Liệt",3.0,2.0,20.0
430,430,https://bds.com.vn/ban-chung-cu-kim-van-kim-lu-full-noi-that-o-ngay-74m2-3-ngu-2-wc-chi-18xx-ty-p503869.html,"Bán Chung cư Kim Văn, Kim Lú, Full nội thất, ở ngay 74m2, 3 ngủ, 2 WC, chỉ 1.8XX Tỷ.",căn hộ chung cư,Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,1800000000.0,74.0,01/08/2024,"CHÍNH CHỦ CẦN GẤP CHUNG CƯ KIM VĂN, KIM LŨ, 74M2, 3PN, 2WC, FULL NỘI THẤT CHỈ VIỆC XÁCH VALY VỀ Ở - GIÁ RẺ BẤT NGỜ 1.8XX TỶ.Cần bán gấp căn hộ Chung cư Kim Văn, Kim Lũ74m2, 3 ngủ, 2 WC (Tầng trung)Giá chỉ 1.8XX Tỷ (Có gia lộc cho khách thiện chí).-        Mô tả:+ Đối diện dự án The Manor Central Park, dự án được đầu tư đồng bộ về cơ sở hạ tầng, bao gồm các khu phức hợp, biệt thự, liền kề và chung cư cao cấp. + Vị Trí đẹp trên mặt đường lớn nên có nhiều chỗ đỗ xe ô tô thoải mái. Gửi xe giá bình dân, xe máy 80k/tháng, ô tô khoảng 1tr, Phí dịch vụ rẻ nhất vịnh Bắc bộ chỉ 160k/tháng. + Khu đất rất có Lộc tài chính vừa phải dành cho vợ chồng trẻ mới cưới hoặc bố mẹ mua nhà cho con đi học.+ Chủ để lại toàn bộ nội thất: tivi, bếp, tủ lạnh, điều hòa, giường tủ… chủ mới chỉ việc xách valy về ở.-        Pháp lý: Nhà đã có sổ Hồng lâu dài.-        Liên hệ: 0844.899.222 Ms Thanh để được giao dịch chính chủ.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Hoàng Liệt",3.0,2.0,25.0
431,431,https://bds.com.vn/ban-kdt-kim-van-kim-lu-can-ho-lo-goc-full-noi-that-69m2-2-ngu-2-ve-sinh-gia-chao-205-ty-p506175.html,"Bán KĐT Kim Văn, Kim Lũ, căn hộ Lô góc, FUll nội thất, 69m2, 2 ngủ, 2 vệ sinh, giá chào 2.05 tỷ",căn hộ chung cư,Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,2000000000.0,69.0,01/08/2024,"Cần bán gấp căn hộ Lô góc Tòa CT11 KĐT Kim Văn - Kim Lũ 69m2, 2 ngủ, 2 vệ sinh, giá chào 2.05 tỷ+ Vị trí đẹp, Tổng Cả Khu Xung Quanh Tòa CT 11 Có 12 Tòa Bên Cạnh là Tòa VINACONEX , Thông Tấn Xã , CT12 abc , Ngay dưới Chân Tòa Nhà mình TTTM, Chợ, Trường Liên Cấp Đang xây . Tiện ích Ngập Tràn . View Công Viên Chu Văn An 110Ha .Cả Khu Được Hưởng chọn Tiện Ích Sau khi Dự Án Dự Án The Manor CenTral Park Đang được Quy Hoạch chở thành khu Đô Thị Điển Hình , Nơi Tôn Vinh Những giá trị Lịch Sử độc đáo Của Chính Trị , Dự án Đang được Xây Dựng Thành Phố Cổ Mới, Công Viên Chu Văn An 110HA, Cực Kỳ Hót. Tiềm năng Cực Kỳ Cao + Thiết kế: 2 phòng ngủ, 2 WC. + Ban Công hướng tây bắc, Cửa Đông Nam + Chủ tặng toàn bộ nội thất trừ đồ điện tử , khách mua chỉ xách vali về ở. + Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ 0865.089.699 Ms Thanh để được xem nhà luôn.                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Hoàng Liệt",2.0,2.0,26.0
432,432,https://bds.com.vn/mạt-ngõ-phó-vạn-phúc-bán-dát-tạng-nhà-2-tàng-ngõ-rọng-kinh-doanh-dỉnh-o-to-tránh-41m2-chỉ-hon-6-tỷ-còn-thuong-luọng-p628048.html,"MẶT NGÕ PHỐ VẠN PHÚC, BÁN ĐẤT TẶNG NHÀ 2 TẦNG. NGÕ RỘNG KINH DOANH ĐỈNH-Ô TÔ TRÁNH 41M2 CHỈ HƠN 6 TỶ CÒN THƯƠNG LƯỢNG",Unknown,Hà Nội,Unknown,Unknown,6500000000.0,41.0,24/08/2024,"+ Nhà 4 tầng cũ, chủ xác định bán đất, tặng nhà. Mặt ngõ rộng kinh doanh đỉnh
+ Dân cư đông đúc, có thể làm spa, hair salon, shop mý phẩm hay cửa hàng tạp hóa
+ Ngõ rộng, thông tứ phía, dân trí cao, kinh doanh sầm uất, tiện ích bạt ngàn
+ Vị trí đắc địa, giao thông thuận tiện, lưu thông với đường vạn phúc, phố lụa, ngô quyền, ngô thì sỹ, gần trường học các cấp
+ Sổ đỏ cất két, giao dịch ngay
+ LIÊN HỆ E LAN ĐƯỢC GẶP CHỦ NHÀ TRỰC TIẾP
+ Miễn tiếp môi giới, xem hộ, trung gian                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Thị Xã Sơn Tây
Mua bán nhà đất Thị Xã Sơn Tây",3.0,1.0,2.0
435,435,https://bds.com.vn/nha-dep-o-dinh-cong-thuong-lo-goc-tang-noi-that---dt-33m2-x-5t-x-639-ty-lh-082996828-p628047.html,"Nhà Đẹp Ở ĐỊNH CÔNG THƯỢNG, Lô Góc, TẶNG NỘI THẤT - DT 33m2 x 5T x 6,39 Tỷ LH 082.996.828",nhà riêng,Hà Nội,Quận Hoàng Mai,Phường Định Công,6390000000.0,33.0,24/08/2024,"Bán nhà Lô Góc, Tặng Nội Thất - DT 33m2 x 5T chỉ 6,39. Nhà setup full nội thất chủ TẶNG lại toàn bộ gồm: Tủ lạnh 540L. Bếp từ bosse 28tr, giường tủ, chăn ga gối đệm, tủ bếp xịn xò, kệ tivi, điều hòa, nóng lạnh đủ hết nội thất.Vị trí nhà đẹp ngõ 219 Định Công Thượng, sau quy hoạch đường vành đai giá tặng mạnh, ngõ ngách siêu thoáng, xe 3 gác tránh xe máy.Lô góc 2 thoáng nên phòng nào cũng có cửa sổ, ánh sáng tự nhiên chan hòa. Cách đường oto tránh chỉ 50m.Thiết kế:- T1: Phòng khách + bếp + wc- T2.3: Mỗi tầng 2 ngủ + wc- T4: Phòng thờ + 1 ngủ- T5: Tum phơi đồ+ Sổ đỏ nở hậu đẹp sẵn sàng giao dịch                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hoàng Mai
Mua bán nhà đất Phường Định Công",3.0,3.0,5.0
436,436,https://bds.com.vn/ban-nha-dong-da-dt-lon-lo-goc-nha-dep-vai-buoc-ra-mptien-ich-bat--ngan-1p-ra-bv-bach-mai-p628042.html,"Bán Nhà Đống Đa, DT lớn, Lô Góc, Nhà Đẹp, vài bước ra MP,Tiện ích bat  ngàn, 1P ra BV Bạch Mai",Unknown,Hà Nội,Unknown,Unknown,7800000000.0,42.0,24/08/2024,"BÁN NHÀ SIÊU ĐẸP - LÔ GÓC 3 THOÁNG - SÁT Ô TÔ - TIỆN ÍCH BẠT NGÀN - VÀI BƯỚC RA BV BẠT NGÀNMô tả:- Vị trí cực đỉnh từ nhà ra ô tô chỉ 15m.- Đường thông ngõ thoáng ba gác đua.- Khu trung tâm Đống Đa lây đâu ra nhà.- Tiện ích bạt ngàn không thiếu gì.- Hiến có nhà 3 mặt thoáng vĩnh viễn.- Nhà siêu đẹp khách vào không muốn ra.Tầng 1: PK, bếp, wc.Tầng 2,3,4: Mỗi tầng 1PN, wc siêu rộng.Tầng 5: phòng thờ sân phơi.- Sổ đỏ nở hậu đẹp, xây vuông đét sẵn sàng giao dịch.- Vị trí đến là mê, vài bước ra BV Bạch Mai.Miễn MG,TG làm phiềnMòng tìm được khách thiện chí cho căn nhà e bán.LH: 0975.045.137( E HUYỀN ĐỂ GẶP CHÍNH CHỦ)                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Đống Đa
Mua bán nhà đất Quận Đống Đa",3.0,4.0,5.0
448,448,https://bds.com.vn/can-ban-nha-phan-lo-o-to-tran-dai-nghia-hai-ba-trung-50m2-mt48m-4t-gia-chi-9-ty-6-p627897.html,Cần bán nhà phân lô ô tô Trần Đại Nghĩa Hai Bà Trưng 50M2 MT4.8M 4T giá chỉ 9 tỷ 6,nhà mặt phố,Hà Nội,Quận Hai Bà Trưng,Phường Đồng Tâm,9600000000.0,50.0,23/08/2024,"Cần bán nhà phân lô ô tô Trần Đại Nghĩa Hai Bà Trưng 50M2 MT4.8M 4T giá  9 tỷ 6.
 
+ Vị trí hiếm, nhà phân lô ô tô, 2 thoáng vĩnh viễn, khu cán bộ dân trí cao, an ninh tốt, ô tô ra vào đỗ thoải mái. Giao thông thuận tiện, ngay gần các trường ĐH Bách – Kinh – Xây, bệnh viện Bạch Mai, bệnh viện Thanh Nhàn. Thông ra các ngả đường Lê Thanh Nghị, Giải Phóng, Bạch Mai, thuận tiện di chuyển ra các quận Hai Bà Trưng, Hoàn Kiếm, Đống Đa, Thanh Xuân, Hoàng Mai.
 
+ Nhà xây 4 tầng mặt tiền rộng 4.8M, thiết kế mỗi tầng 2 phòng.
- T1: Phòng khách, bếp, Wc.
- T2,3: Mỗi tầng 2 ngủ, Wc.
- T4: Tum sân phơi.
 
+ Sổ đỏ đẹp giao dịch ngay. Liên hệ Hằng - 0989616711                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hai Bà Trưng
Mua bán nhà đất Phường Đồng Tâm",4.0,4.0,4.0
468,468,https://bds.com.vn/nha-moi-kinh-koong-ngo-thong-3-buoc-ra-pho-vu-xuan-thieu-52m2-x-5t-mt-42m-nhinh-4-ty-p531663.html,"Nhà mới kính koong, ngõ thông, 3 bước ra phố Vũ Xuân Thiều, 52m2 x 5T, MT 4.2m, nhỉnh 4 tỷ",nhà riêng,Hà Nội,Quận Long Biên,Phường Sài Đồng,4850000000.0,52.0,01/08/2024,"+ Đường trước nhà rộng rãi, ngõ 95 to hơn phố, nhà cách 200m ra mặt phố Vũ Xuân Thiều, vài bước ra hồ Sài Đồng. Khu dân trí cao, ở cực sướng.+ Tiện ích ngập tràn, xung quanh như trường học các cấp, chợ, siêu thị.....+ Nhà mới kính koong, thiết kế hiện đại, đồ gỗ xịn xò, thiết kế đầy đủ công năng tầng 1 phòng. - Tầng 1: Phòng khách, bếp và phòng ăn. - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ master. - Tầng 5:  Phòng thờ, sân phơi.+ Sổ đỏ đẹp nở hậu sẵn sàng giao dịch ngay.+ Giá chào: 4.85 tỷ ( Có thương lượng )+ Khách thiện chí mua sẽ thương lượng trực tiếp với chủ.+ Liên hệ: Mr Thành  ( Nhận mua bán ký gửi Nhà Đất).Miễn phí xem nhà đất - Nguồn nhà đất phong phú - Hỗ trợ 24/24h                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Long Biên
Mua bán nhà đất Phường Sài Đồng",4.0,4.0,5.0
472,472,https://bds.com.vn/ban-nha-ngay-cong-lang-van-phu-–-ngo-o-to-–-nha-xay-moi-dang-hoan-thien-p628031.html,BÁN NHÀ NGAY CỔNG LÀNG VĂN PHÚ – NGÕ Ô TÔ – NHÀ XÂY MỚI ĐANG HOÀN THIỆN,Unknown,Hà Nội,Unknown,Unknown,8199999999.999999,34.0,24/08/2024,"CC gửi bán nhà diện tích như sau:
Căn 34m – MT 4,7m – Ô tô vào nhà, thang máy,  Kinh doanh nhỏ - 8,2 tỷ
Thiết kế 5 tầng+ Tầng 1: Nhà để xe, phòng khách bếp và wc+ Tầng 2,3,4: mỗi tầng 1 ngủ và wc+ Tầng 5: phòng thờ và sân phơi
Sổ đỏ chính chủ, sẵn sàng giao dịch 
Liên hệ e : 0906852966 để xem nhà trực tiếp ạ                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Thị Xã Sơn Tây
Mua bán nhà đất Thị Xã Sơn Tây",3.0,4.0,5.0
474,474,https://bds.com.vn/chinh-chu-ban-can-ho-da-no-08-giang-bien-full-noi-that-view-khu-vui-choi-72m2-2-pn-nhinh-2ty-p532522.html,"Chính chủ Bán căn hộ DA NO-08 Giang Biên, full nội thất, view khu vui chơi, 72m2, 2 PN, nhỉnh 2tỷ",căn hộ chung cư,Hà Nội,Quận Long Biên,Phường Giang Biên,2300000000.0,72.0,01/08/2024,"- Căn hộ thuộc dự án No 08 Giang Biên nằm vị trí đắc địa ngay cạnh khu đô thị đẳng cấp bậc nhất Vinhomes Riverside và khu đô thị mới Việt Hưng.- Nhà rất thoáng mát và nhiều ánh sáng tự nhiên, mật độ xây dựng thấp chỉ có 37%, xung quanh nhiều cây xanh, thoáng mát, có bãi để xe ô tô.- Tiện ích ngập tràn, gần chợ Quán Tình, gần bệnh viện đa khoa Đức Giang, rất thuận tiện để đến các trung tâm thương mại (Vincom Long Biên, Aeon Mall, Big C), Gần các trường mẫu giáo, cấp 1, cấp 2 Việt Hưng, đối diện trường chất lượng cao Chu Văn An.- Giao thông đi lại thuận tiện, ra cao tốc đi Hải Phòng, Bắc Ninh, gần cầu Vĩnh Tuy, cầu Chương Dương, cầu Đông Trù.- Căn hộ là căn góc nên luôn có ánh sáng tự nhiên và thoáng mát ban công view mặt phố Kẻ tạnh.+ Diện tích sử dụng 72m2, chia 2 phòng ngủ, Bếp và 2 nhà vệ sinh, + Chủ để lại toàn bộ nội thất thiết bị xịn xò gồm có giường tủ bàn ghế ăn, Sofa phòng khách, điều hòa 3 chiếc, bình nóng lạnh, Bếp điện từ, quạt hút mùi ….- Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch ngay.- Giá bán: 2.35 tỷ (Có ra lộc).- Khách thiện chí mua sẽ thương lượng trực tiếp với chủ.- Liên hệ chính chủ: Mr Thành   0979999868 ( Miễn trung gian môi giới )                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Long Biên
Mua bán nhà đất Phường Giang Biên",4.0,2.0,5.0
484,484,https://bds.com.vn/vuong-thua-vu-nha-dep-2-thoang-gan-oto-41m²-5-tang-66-ty-p628013.html,"Vương Thừa Vũ Nhà đẹp, 2 Thoáng, Gần OTO, 41m², 5 tầng, 6.6 tỷ.",nhà riêng,Hà Nội,Quận Thanh Xuân,Phường Khương Trung,6600000000.0,41.0,24/08/2024,"Vương Thừa Vũ Nhà đẹp, 2 Thoáng, Gần OTO, 41m², 5 tầng, 6.6 tỷ.

Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Thanh Xuân
Mua bán nhà đất Phường Khương Trung",5.0,5.0,5.0
485,485,https://bds.com.vn/can-ban-nha-dan-xay-dep-ngo-o-to-truong-dinh-hai-ba-trung-38m2--6t-nhinh-7-ty-p627985.html,Cần bán nhà dân xây đẹp ngõ ô tô Trương Định Hai Bà Trưng 38M2  6T nhỉnh 7 tỷ,nhà riêng,Hà Nội,Quận Hai Bà Trưng,Phường Trương Định,7000000000.0,38.0,24/08/2024,"(11) Cần bán nhà dân xây đẹp Trương Định Hai Bà Trưng ngõ ô tô 38M2  6T giá nhỉnh 7 tỷ
 
Ngõ ô tô vào nhà thông kinh doanh thông ra ngõ, an sinh cực tốt. Ngõ thông ra phố Nguyễn An Ninh, thuận tiện đi các ngả đường ra các quận Hoàng Mai, Hai Bà Trưng, Đống Đa như Kim Đồng, Giải Phóng, Tân Mai, Đại La,Trần Đại Nghĩa
Ngay gần các trường Đại học lớn: Bách Khoa, Kinh tế quốc dân, Xây Dựng, bệnh viện Bạch Mai.
 
Nhà đẹp long lanh thiết kế 6 tầng hiện đại
 + Tầng 1: thông sàn kinh doanh
 + Tầng 2: phòng khách
 + Tầng 3+4+5: 3 PN + Vệ sinh.
 + Tầng 6: Bếp + P Thờ + Sân phơi
 
Sổ đỏ vuông giao dịch ngay.
LH Hằng 0989616711                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Quận Hai Bà Trưng
Mua bán nhà đất Phường Trương Định",3.0,4.0,6.0
487,487,https://bds.com.vn/yen-loyen-nghia-ha-dong35m5-tang-mt34m-o-to-vao-cong-gia-nhinh-4-ty-p628001.html,"YÊN LỘ,YÊN NGHĨA ,HÀ ĐÔNG.35M,5 TẦNG .MT3.4M .Ô TÔ VÀO CỔNG .GIÁ NHỈNH 4 TỶ.",Unknown,Hà Nội,Unknown,Unknown,4650000000.0,35.0,24/08/2024,"Ô TÔ QUA NHÀ , NHÀ DÂN XÂY ĐẦY ĐỦ CÔNG NĂNG,KIÊN CỐ CHÁC CHẮC ,NHÀ MỚI ĐÉT CHỈ VIỆC ĐẾN Ở,PHÙ HỢP LÀM VĂN PHÒNG NHÀ Ở.XUNG QUANH TIỆN ÍCH KHÔNG THIẾU GÌ                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Thị Xã Sơn Tây
Mua bán nhà đất Thị Xã Sơn Tây",4.0,4.0,5.0
488,488,https://bds.com.vn/sieu-dinh---lo-goc-3-thoang---oto--7-cho-vao-nha---xay-chung-cu-mini-dong-tien-ruoi-kinh-doanh-hai-ra-lua-p554110.html,SIÊU ĐỈNH - LÔ GÓC 3 THOÁNG - ÔTÔ  7 CHỖ VÀO NHÀ - XÂY CHUNG CƯ MINI DÒNG TIỀN RƯỚI KINH DOANH HÁI RA LÚA.,Unknown,Hà Nội,Unknown,Unknown,7000000000.0,79.0,02/08/2024,"SIÊU ĐỈNH - LÔ GÓC 3 THOÁNG - OTO 7 CHỖ VÀO NHÀ - XÂY CHUNG CƯ MINI DÒNG TIỀN RƯỚI KINH DOANH HÁI RA LÚA.

+ Vị Trí : Ngõ 197 thông các ngả mặt tiền rộng xây chung cư mini phòng nào cũng có ánh sáng tự nhiên, mặt bằng gia chủ đã dọn sạch, chủ bán trong giai đoạn này là bán đất, tặng giấy phép 6 tầng, sau khi chủ xây dựng đến đâu thì bán đến đó theo hiện trạng.

- Sổ đỏ cất két giao dịch ngay.
LH: 0963948488 để mua nhà                                 
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Thị Xã Sơn Tây
Mua bán nhà đất Thị Xã Sơn Tây",12.0,10.0,7.0
489,489,https://bds.com.vn/co-102--ban-biet-thu-van-quan-ha-dong-wiew-ho-lo-goc-thoang-o-suong-p553088.html,CÓ 102 ! BÁN BIỆT THỰ VĂN QUÁN HÀ ĐÔNG WIEW HỒ LÔ GÓC THOÁNG Ở SƯỚNG,Unknown,Hà Nội,Unknown,Unknown,70000000000.0,225.0,02/08/2024,"CÓ 102 ! BÁN BIỆT THỰ VĂN QUÁN HÀ ĐÔNG WIEW HỒ LÔ GÓC THOÁNG Ở SƯỚNG
BIỆT THỰ VIEW HỒ VĂN QUÁN, LÔ GÓC CỰC HIẾM. - Khu vực vip cực hiếm nhà bán View hồ Văn Quán, lô góc cực đẹp. - Chủ là 1 doanh nghiệp thép lớn có tiếng trong làng kinh doanh. - Tổng 6 phòng ngủ. - Pháp lý chuẩn, sổ đẹp 
 
 LH: ngay 0963948488 để mua nhà                                
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Thị Xã Sơn Tây
Mua bán nhà đất Thị Xã Sơn Tây",6.0,5.0,3.0
490,490,https://bds.com.vn/loa-loa--ban-biet-thu-van-quan-ha-dong--view-vuon-hoa--218-met-33-ty-p553003.html,LOA LOA ! BÁN BIỆT THỰ VĂN QUÁN HÀ ĐÔNG  VIEW VƯỜN HOA  218 MÉT 33 TỶ,Unknown,Hà Nội,Unknown,Unknown,33500000000.0,218.0,02/08/2024,"LOA LOA ! BÁN BIỆT THỰ VĂN QUÁN HÀ ĐÔNG  VIEW VƯỜN HOA  218 MÉT 33 TỶ 
BIỆT THỰ VĂN QUÁN - VIEW VƯỜN HOA - RẤT HIẾM NHÀ BÁN - NHÀ HOÀN THIỆN ĐẸP LONG LANH - GIÁ MỀM NHẤT KHU VỰC.
Mô tả: Căn biệt thự nằm ngay sau lưng mặt phố Nguyễn Khuyến, khu vực Kinh doanh nhiều quán Cafe và nhà hàng, đường vỉa hè 2 bên rộng thênh thang, view vườn hoa, cây xanh rợp bóng.- Nhà chủ đã chuyển sang Vinhome ở, đã sơn lại và vệ sinh sạch sẽ, nội thất cơ bản toàn đồ gỗ XỊN SÒ.+ Thiết kế: 4 tầng, sân vườn rộng.+ Tầng 1: Gara, phòng khách, bếp, bể cá tiểu cảnh, sân, WC+ Tầng 2,3: 03 phòng ngủ, 2 WC, 1 sân ban công uống trà.+ Tầng 4: phòng để đồ, sân phơi.+ Sổ đỏ hoa hậu chờ xích công tử.
+LH :0963948488 để mua nhà                                 
Tìm kiếm theo từ khóa:
Mua bán nhà đất
Mua bán nhà đất Hà Nội
Mua bán nhà đất Thị Xã Sơn Tây
Mua bán nhà đất Thị Xã Sơn Tây",4.0,4.0,4.0
